Time (s),Altitude (m)
20.988600000000034,276.0765000000001
21.088600000000035,274.0765000000001
21.188600000000037,272.0765000000001
21.288600000000038,270.0765000000001
21.38860000000004,268.0765000000001
21.48860000000004,266.0765000000001
21.588600000000042,264.0765000000001
21.688600000000044,262.0765000000001
21.788600000000045,260.0765000000001
21.888600000000046,258.0765000000001
21.988600000000048,256.0765000000001
22.08860000000005,254.07650000000012
22.18860000000005,252.07650000000012
22.288600000000052,250.07650000000012
22.388600000000054,248.07650000000012
22.488600000000055,246.07650000000012
22.588600000000056,244.07650000000012
22.688600000000058,242.07650000000012
22.78860000000006,240.07650000000012
22.88860000000006,238.07650000000012
22.988600000000062,236.07650000000012
23.088600000000064,234.07650000000012
23.188600000000065,232.07650000000012
23.288600000000066,230.07650000000012
23.388600000000068,228.07650000000012
23.48860000000007,226.07650000000012
23.58860000000007,224.07650000000012
23.688600000000072,222.07650000000012
23.788600000000073,220.07650000000012
23.888600000000075,218.07650000000012
23.988600000000076,216.07650000000012
24.088600000000078,214.07650000000012
24.18860000000008,212.07650000000012
24.28860000000008,210.07650000000012
24.388600000000082,208.07650000000012
24.488600000000083,206.07650000000012
24.588600000000085,204.07650000000012
24.688600000000086,202.07650000000012
24.788600000000088,200.07650000000012
24.88860000000009,199.57650000000012
24.98860000000009,199.07650000000012
25.088600000000092,198.57650000000012
25.188600000000093,198.07650000000012
25.288600000000095,197.57650000000012
25.388600000000096,197.07650000000012
25.488600000000098,196.57650000000012
25.5886000000001,196.07650000000012
25.6886000000001,195.57650000000012
25.788600000000102,195.07650000000012
25.888600000000103,194.57650000000012
25.988600000000105,194.07650000000012
26.088600000000106,193.57650000000012
26.188600000000108,193.07650000000012
26.28860000000011,192.57650000000012
26.38860000000011,192.07650000000012
26.488600000000112,191.57650000000012
26.588600000000113,191.07650000000012
26.688600000000115,190.57650000000012
26.788600000000116,190.07650000000012
26.888600000000118,189.57650000000012
26.98860000000012,189.07650000000012
27.08860000000012,188.57650000000012
27.188600000000122,188.07650000000012
27.288600000000123,187.57650000000012
27.388600000000125,187.07650000000012
27.488600000000126,186.57650000000012
27.588600000000127,186.07650000000012
27.68860000000013,185.57650000000012
27.78860000000013,185.07650000000012
27.88860000000013,184.57650000000012
27.988600000000133,184.07650000000012
28.088600000000135,183.57650000000012
28.188600000000136,183.07650000000012
28.288600000000137,182.57650000000012
28.38860000000014,182.07650000000012
28.48860000000014,181.57650000000012
28.58860000000014,181.07650000000012
28.688600000000143,180.57650000000012
28.788600000000145,180.07650000000012
28.888600000000146,179.57650000000012
28.988600000000147,179.07650000000012
29.08860000000015,178.57650000000012
29.18860000000015,178.07650000000012
